Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.018953,0.04778,0.068135,0,0,0,0.049053,4.0047E-05,3.0608E-09,-7.9517E-09,4.1233E-05,-7.4309E-13,1.5913E-05,0,0,0,0,0,0,package://Manipulator_URDF/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Manipulator_URDF/meshes/base_link.STL,,Manipulator_baselink-1/2. Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.026643,0.067463,0.1051,0,0,0,0.053295,5.0648E-06,3.7644E-08,3.9559E-09,1.0748E-05,4.0559E-07,1.1407E-05,0,0,0,0,0,0,package://Manipulator_URDF/meshes/link_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Manipulator_URDF/meshes/link_1.STL,,Manipulator_link1-1,Origin_joint1,,joint1,fixed,0.042922,-0.17059,0.014571,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
link_2,-0.0093252,0.018744,0.003828,0,0,0,0.054261,5.1055E-06,1.889E-08,-2.4669E-07,1.1466E-05,-4.0517E-07,1.0768E-05,0,0,0,0,0,0,package://Manipulator_URDF/meshes/link_2.STL,255,140,0,1,0,0,0,0,0,0,package://Manipulator_URDF/meshes/link_2.STL,,Manipulator_link2-1,Origin_joint2,Axis_joint2,joint2,revolute,0.016587,0.095557,0.10355,3.1416,-0.72673,3.1416,link_1,0,1,0,200,3,0,3.14,,,,,,,,
link_3,-0.0020031,0.05096,-0.0005529,0,0,0,0.047833,4.6499E-05,6.4595E-07,9.3024E-07,3.0269E-05,2.3804E-08,2.1291E-05,0,0,0,0,0,0,package://Manipulator_URDF/meshes/link_3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Manipulator_URDF/meshes/link_3.STL,,Manipulator_link3-1,Origin_joint3,Axis_joint3,joint3,revolute,-0.019387,0.0175,-0.00071444,-0.0029846,0.00012106,0.081078,link_2,0.036827,0,-0.99932,150,3,0,3.14,,,,,,,,
link_4,0.0041588,0.077415,-0.0030401,0,0,0,0.11939,2.6992E-05,-5.5078E-07,-7.5265E-07,1.1445E-05,1.0514E-08,2.5362E-05,0,0,0,0,0,0,package://Manipulator_URDF/meshes/link_4.STL,255,140,0,1,0,0,0,0,0,0,package://Manipulator_URDF/meshes/link_4.STL,,Manipulator_link4-1,Origin_joint4,Axis_joint4,joint4,revolute,-0.0040415,0.10192,-0.00014894,-0.0013244,2.3807E-05,0.035947,link_3,0.036827,0,-0.99932,100,3,0,3.14,,,,,,,,
link_5,0.0029647,0.03703,2.0924E-06,0,0,0,0.050955,2.6187E-05,-4.8287E-07,5.8904E-07,2.0198E-05,2.1584E-08,1.031E-05,0,0,0,0,0,0,package://Manipulator_URDF/meshes/link_5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Manipulator_URDF/meshes/link_5.STL,,Manipulator_link5-1,Origin_joint5,Axis_joint5,joint5,revolute,0.0052034,0.14577,0.00019176,0.00059508,0,-0.016149,link_4,0.036827,0,-0.99932,80,3,0,3.14,,,,,,,,
link_6,0.0029085,0.030963,0.027631,0,0,0,0.036481,5.1526E-06,8.4505E-08,2.4174E-06,6.3867E-06,-1.7952E-07,4.2754E-06,0,0,0,0,0,0,package://Manipulator_URDF/meshes/link_6.STL,255,140,0,1,0,0,0,0,0,0,package://Manipulator_URDF/meshes/link_6.STL,,Manipulator_link6-1,Origin_joint6,Axis_joint6,joint6,revolute,0.0056933,0.066372,-0.010197,3.0762,0.63346,2.9605,link_5,0.079753,0.99681,0.002939,50,3,0,3.14,,,,,,,,
link_7,-0.0045079,0.0038712,-0.0014506,0,0,0,0.0023389,2.7138E-07,3.9294E-08,5.8021E-08,1.2298E-07,-6.3983E-08,2.4532E-07,0,0,0,0,0,0,package://Manipulator_URDF/meshes/link_7.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Manipulator_URDF/meshes/link_7.STL,,Manipulator_link7-1,Origin_joint7,Axis_joint7,joint7,revolute,-0.0062233,0.032836,0.010313,-1.0659,-0.43408,-0.88021,link_6,0.75436,-0.062282,0.6535,50,3,0,3.14,,,,,,,,
link_End,-0.0062734,0.50916,0.10978,0,0,0,0.0029678,8.7553E-07,-1.6854E-07,3.7411E-08,8.3038E-08,1.146E-07,8.8959E-07,0,0,0,0,0,0,package://Manipulator_URDF/meshes/link_End.STL,255,140,0,1,0,0,0,0,0,0,package://Manipulator_URDF/meshes/link_End.STL,,Manipulator_End-1,Origin_jointEnd,,jointEnd,floating,0.29055,0.044276,-0.38783,0.94013,-0.49562,0.75936,link_7,0,0,0,,,,,,,,,,,,
link_7_2,0.0031121,-0.014499,-0.0079965,0,0,0,0.0003125,3.58E-08,9.2234E-09,4.2656E-09,9.3477E-09,-1.3448E-08,3.2528E-08,0,0,0,0,0,0,package://Manipulator_URDF/meshes/link_7_2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Manipulator_URDF/meshes/link_7_2.STL,,Manipulator_link7_2-1,Origin_joint7_2,Axis_joint7_2,joint7_2,continuous,0.0015619,0.052298,0.0031813,1.0457,-0.60353,0.82564,link_6,0.75436,-0.062282,0.6535,0,0,0,0,,,,,,,,
